Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2010,BX37,Van Nest-Morris Park-Westchester Square,41,10786.19685,28749,50.5,34.5,21.1,5,66412,0
2018,BX49,Pelham Parkway,29,14398.6892,28913,52,37.6,31.5,6.1,75205,1
2018,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,17,38761.29681,28976,51.5,43.1,37.2,2,126073,1
2018,BX37,Van Nest-Morris Park-Westchester Square,54,10786.19674,29004,51.3,33.9,24.3,6.4,64606,1
2018,BK85,East New York (Pennsylvania Ave),28,17221.05581,29063,57.7,34,13.1,6.8,49135,1
2010,QN18,Rego Park,31,0,29091,51.2,39.4,48.5,5,86611,0
2018,BX06,Belmont,33,2892.90123,29115,53.2,25.2,15.4,8.5,38077,1
2018,QN57,Lindenwood-Howard Beach,18,29983.11224,29219,52.3,45,27.9,3.4,100462,1
2010,BX29,Spuyten Duyvil-Kingsbridge,27,7911.632327,29269,54.6,41.4,49.3,4.4,92061,0
2010,BX01,Claremont-Bathgate,39,19833.85744,29478,55.1,27.8,5.5,8.7,32712,0
2010,QN30,Maspeth,29,0,29569,50.9,38.2,19.3,3.8,78129,0
2010,BK79,Ocean Hill,18,13971.19576,29734,56.3,30.2,14.1,5.3,49366,0
2010,BK85,East New York (Pennsylvania Ave),22,2627.706935,29753,55.5,27.6,10.9,9.8,49640,0
2010,BX46,Parkchester,17,0,29974,53.9,36.4,24.2,4.3,59448,0
2018,QN42,Oakland Gardens,18,24096.13796,30316,50,44.1,43.6,3.1,100540,1
2018,BX46,Parkchester,25,3266.325505,30372,53.1,38.5,26.3,6.4,63544,1
2010,BK95,Erasmus,28,7712.948393,30413,55.2,33.3,17.3,6.7,61270,0
2018,BK26,Gravesend,45,10354.63588,30587,52.9,41.7,33.7,5.9,68025,1
2010,BX49,Pelham Parkway,28,14007.85844,30616,53,36.6,28.8,3.4,64190,0
2010,BK19,Brighton Beach,40,6263.552396,30771,53.1,46.3,39.6,3.4,54776,0
2010,SI22,West New Brighton-New Brighton-St. George,35,22204.26414,30879,51.7,33.6,28.2,4.9,71189,0
2010,BK21,Seagate-Coney Island,52,33968.97357,30992,55.2,42.1,19.7,7.4,47507,0
2018,BX29,Spuyten Duyvil-Kingsbridge,34,8240.975473,31295,54.2,42.6,49.4,4.2,99641,1
2010,BX31,Allerton-Pelham Gardens,23,12608.21721,31376,51.7,40.2,27.6,6.6,87291,0
2010,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31,0,31463,52.4,31.7,19.1,4.4,80692,0
2010,BK76,Greenpoint,41,37997.67023,31515,49.5,34.7,44.9,3.6,82088,0
2018,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,44,0,31907,50.7,32.9,26,2.6,78051,1
2010,QN49,Whitestone,11,826.6794621,31919,52.7,41.6,33.3,4.7,108574,0
2018,QN49,Whitestone,31,826.6794779,31971,51.7,45.5,38.3,3.2,106229,1
2010,BK90,East Williamsburg,44,13675.83802,31993,53,34,35.4,3.8,65696,0
2018,BX31,Allerton-Pelham Gardens,25,18315.26505,31993,52.9,42.7,27.5,3.6,88250,1
2018,BX30,Kingsbridge Heights,32,3672.431847,32163,53.1,33.3,15.3,6.3,46817,1
2018,SI22,West New Brighton-New Brighton-St. George,47,30513.03627,32172,53.5,36.8,30.5,2.9,69915,1
2018,QN30,Maspeth,41,7979.78376,32179,50.5,38.1,27.5,3.6,93741,1
2018,BK68,Fort Greene,26,39586.93222,32193,54,35.5,51.4,5.8,110463,1
2018,BK21,Seagate-Coney Island,38,37233.13351,32259,55.2,38.9,25.5,6,49756,1
2010,QN19,Glendale,32,9236.788419,32299,50.9,38.5,18.7,4,79644,0
2018,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,68,47340.39207,32348,52,44,36.7,2.6,121062,1
2010,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,20,13850.74509,32489,52.5,43.5,32.9,3,112562,0
2010,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,49,52905.6428,32758,51.6,34.1,50.4,7.1,116385,0
2010,BX35,Morrisania-Melrose,32,13143.11233,32938,54.5,29.8,10.3,8.2,37543,0
2010,QN38,Pomonok-Flushing Heights-Hillcrest,20,24816.40546,32987,53.5,37.4,36.4,6.7,81250,0
2018,BK27,Bath Beach,39,17056.16687,33020,49.9,38.7,34.6,3.6,82098,1
2010,MN25,Battery Park City-Lower Manhattan,84,20762.63085,33170,52.4,32.4,77.5,3.9,202855,0
2010,BX30,Kingsbridge Heights,16,3672.431844,33289,52,33.2,14.7,10.2,46608,0
2010,BX07,Bronxdale,28,920.8742119,33565,54.3,36.3,18.1,6.7,50512,0
2018,BK76,Greenpoint,64,39401.77268,33918,50.7,35.1,58.4,3.7,106996,1
2010,QN76,Baisley Park,21,2142.21159,33942,53.6,35.8,16.7,8.8,79475,0
2010,BK69,Clinton Hill,34,20829.54798,34192,55.4,33,49.8,4.9,82703,0
2010,BX55,Soundview-Bruckner,28,0,34249,52,31.4,11.3,7.9,47515,0
2010,BX08,West Farms-Bronx River,22,1869.830604,34321,52.4,30,12.1,6.5,48853,0
2018,BK72,Williamsburg,6,7928.094325,34373,49.4,18.7,8.3,1.9,53509,1
2018,BK19,Brighton Beach,46,6263.552133,34431,53.5,45.6,46.3,3.1,61830,1
2010,BK72,Williamsburg,8,7928.094275,34631,49.8,19.1,8.1,2.5,39534,0
2010,QN12,Hammels-Arverne-Edgemere,8,34165.48272,34677,55.8,32.3,17.8,7.3,60293,0
